reg_code,reg_name,value,delta,rank,avg,unit
11,Ile-de-France,22.89608147,-22.17491297,21,29.41992402,g/per/j
21,Champagne,32.47293393,10.37735484,5,29.41992402,g/per/j
22,Picardie,30.41290573,3.375201483,13,29.41992402,g/per/j
23,Haute-Normandie,30.93665927,5.155469621,11,29.41992402,g/per/j
24,Centre,34.58415217,17.55350608,2,29.41992402,g/per/j
25,Basse-Normandie,28.17153765,-4.243336506,16,29.41992402,g/per/j
26,Bourgogne,32.08122363,9.045909177,6,29.41992402,g/per/j
31,Nord Pas de Calais,31.33721438,6.51697929,10,29.41992402,g/per/j
41,Lorraine,29.43154312,0.039493965,15,29.41992402,g/per/j
42,Alsace,27.69562576,-5.860988156,17,29.41992402,g/per/j
43,Franche Comté,23.00139353,-21.81695127,20,29.41992402,g/per/j
52,Pays de la Loire,31.89822777,8.423895804,7,29.41992402,g/per/j
53,Bretagne,30.72763826,4.444995281,12,29.41992402,g/per/j
54,Poitou Charentes ,31.83326049,8.203068321,8,29.41992402,g/per/j
72,Aquitaine,32.8906913,11.79733596,4,29.41992402,g/per/j
73,Midi-Pyrénées ,34.81525822,18.3390487,1,29.41992402,g/per/j
74,Limousin,33.995,15.55094423,3,29.41992402,g/per/j
82,Rhône-Alpes ,29.58492204,0.560837675,14,29.41992402,g/per/j
83,Auvergne,26.86840491,-8.672759019,18,29.41992402,g/per/j
91,Languedoc-Roussillon,31.33952596,6.524836489,9,29.41992402,g/per/j
93,Provence-Alpes-Côte d'Azur,26.53249524,-9.814535148,19,29.41992402,g/per/j
