Region;moy_glucide_simp_gJ;Classement
Ile-de-France;85,30;14
Champagne;84,97;15
Picardie;90,84;5
Haute-Normandie;86,29;13
Centre;87,84;10
Basse-Normandie;91,69;4
Bourgogne;68,57;21
Nord Pas de Calais;88,09;9
Lorraine;92,70;1
Alsace;78,97;20
Franche Comté;86,95;12
Pas de la Loire;92,13;2
Bretagne;89,61;7
Poitou Charentes ;89,47;8
Aquitaine;84,69;16
Midi-Pyrénées ;82,23;18
Limousin;90,57;6
Rhône-Alpes ;91,80;3
Auvergne;79,57;19
Languedoc-Roussillon;87,07;11
Provence-Alpes-Côte d'Azur;83,69;17
France;86,90;
