Region;moy_sodium_mgJ;Classement
Ile-de-France;2564,66;19
Champagne;2865,00;5
Picardie;2559,02;20
Haute-Normandie;2855,92;6
Centre;2766,27;11
Basse-Normandie;2695,26;16
Bourgogne;2734,02;13
Nord Pas de Calais;2601,03;18
Lorraine;2821,36;7
Alsace;2526,82;21
Franche Comté;2603,96;17
Pas de la Loire;2870,17;4
Bretagne;2811,62;8
Poitou Charentes ;2762,57;12
Aquitaine;2886,26;3
Midi-Pyrénées ;2925,33;2
Limousin;2726,74;15
Rhône-Alpes ;2732,44;14
Auvergne;2782,67;9
Languedoc-Roussillon;2959,34;1
Provence-Alpes-Côte d'Azur;2781,06;10
France;2738,25;
