reg_code,reg_name,value_huile,value_beurre,battle_result,delta_huile,delta_beurre,avg_huile,avg_beurre
11,Ile-de-France,11.11989619,12.16913,Beurre,-2.103821548,-1.522919083,11.35886647,12.35732202
21,Champagne,10.3202381,10.76302083,Beurre,-9.143767834,-12.90167226,11.35886647,12.35732202
22,Picardie,11.08763228,11.97440476,Beurre,-2.387863258,-3.098707451,11.35886647,12.35732202
23,Haute-Normandie,9.984761905,13.4204896,Beurre,-12.09719801,8.60354357,11.35886647,12.35732202
24,Centre,10.16123136,13.66623016,Beurre,-10.54361468,10.59216662,11.35886647,12.35732202
25,Basse-Normandie,9.291144814,15.00446429,Beurre,-18.20359157,21.42164994,11.35886647,12.35732202
26,Bourgogne,9.772380952,10.03809524,Beurre,-13.96693522,-18.76803711,11.35886647,12.35732202
31,Nord Pas de Calais,7.119177019,12.37752176,Beurre,-37.32493436,0.163463744,11.35886647,12.35732202
41,Lorraine,9.249214055,9.880075188,Beurre,-18.5727372,-20.04679354,11.35886647,12.35732202
42,Alsace,11.05782313,8.464285714,Huile,-2.650293897,-31.50388328,11.35886647,12.35732202
43,Franche Comté,11.1171875,12.53459821,Beurre,-2.127668062,1.43458424,11.35886647,12.35732202
52,Pays de la Loire,10.07484472,15.15752381,Beurre,-11.30413635,22.66026397,11.35886647,12.35732202
53,Bretagne,9.728831169,18.51718582,Beurre,-14.35033424,49.84788607,11.35886647,12.35732202
54,Poitou Charentes ,11.82015306,12.03501401,Beurre,4.061026583,-2.608235134,11.35886647,12.35732202
72,Aquitaine,13.68721805,11.89754902,Huile,20.49809791,-3.720652418,11.35886647,12.35732202
73,Midi-Pyrénées ,15.66569767,9.636554622,Huile,37.91602983,-22.01745163,11.35886647,12.35732202
74,Limousin,10.21428571,10.13690476,Huile,-10.07654032,-17.96843406,11.35886647,12.35732202
82,Rhône-Alpes ,10.71747643,11.17877624,Beurre,-5.646602533,-9.537226403,11.35886647,12.35732202
83,Auvergne,10.00765306,11.19548872,Beurre,-11.89567125,-9.40198286,11.35886647,12.35732202
91,Languedoc-Roussillon,14.64441964,10.76043956,Huile,28.92500916,-12.92256087,11.35886647,12.35732202
93,Provence-Alpes-Côte d'Azur,14.85939755,11.70669764,Huile,30.81760914,-5.26509207,11.35886647,12.35732202
