reg_code,reg_name,value,delta,rank,avg
11,Ile-de-France,302.4416937,-7.60256687,14,327.3269435
21,Champagne,294.8723739,-9.915031494,16,327.3269435
22,Picardie,348.1690778,6.367375093,7,327.3269435
23,Haute-Normandie,410.4725275,25.4013871,3,327.3269435
24,Centre,305.3816077,-6.704408614,12,327.3269435
25,Basse-Normandie,417.2495479,27.47180036,2,327.3269435
26,Bourgogne,327.1714286,-0.047510575,9,327.3269435
31,Nord Pas de Calais,406.3223479,24.13348673,4,327.3269435
41,Lorraine,433.8415584,32.54074163,1,327.3269435
42,Alsace,291.7764977,-10.860837,18,327.3269435
43,Franche Comté,353.8253968,8.095408541,6,327.3269435
52,Pays de la Loire,321.3073394,-1.839018802,10,327.3269435
53,Bretagne,382.1603053,16.75186322,5,327.3269435
54,Poitou Charentes ,287.5218487,-12.1606533,19,327.3269435
72,Aquitaine,264.8305028,-19.09297169,21,327.3269435
73,Midi-Pyrénées ,337.1877551,3.012526715,8,327.3269435
74,Limousin,294.1564626,-10.13374596,17,327.3269435
82,Rhône-Alpes ,304.533871,-6.963396375,13,327.3269435
83,Auvergne,318.0721501,-2.827385156,11,327.3269435
91,Languedoc-Roussillon,296.1856137,-9.513830261,15,327.3269435
93,Provence-Alpes-Côte d'Azur,268.9047619,-17.84826539,20,327.3269435
