reg_code,reg_name,value,delta,rank,avg
11,Ile-de-France,25.79710145,6.699062234,2,19.09803922
21,Champagne,20.98765432,1.889615105,8,19.09803922
22,Picardie,21.05263158,1.954592363,7,19.09803922
23,Haute-Normandie,24.05063291,4.952593696,4,19.09803922
24,Centre,15.94202899,-3.15601023,13,19.09803922
25,Basse-Normandie,19.54022989,0.442190669,10,19.09803922
26,Bourgogne,7.317073171,-11.78096604,21,19.09803922
31,Nord Pas de Calais,20.16806723,1.070028011,9,19.09803922
41,Lorraine,27.34375,8.245710784,1,19.09803922
42,Alsace,25.64102564,6.542986425,3,19.09803922
43,Franche Comté,14.86486486,-4.233174351,15,19.09803922
52,Pays de la Loire,12.14285714,-6.955182073,16,19.09803922
53,Bretagne,12.05673759,-7.041301627,17,19.09803922
54,Poitou Charentes ,8.571428571,-10.52661064,20,19.09803922
72,Aquitaine,17.28395062,-1.814088598,12,19.09803922
73,Midi-Pyrénées ,10.58823529,-8.509803922,19,19.09803922
74,Limousin,11.11111111,-7.986928105,18,19.09803922
82,Rhône-Alpes ,17.54385965,-1.554179567,11,19.09803922
83,Auvergne,15.78947368,-3.308565531,14,19.09803922
91,Languedoc-Roussillon,23.39181287,4.29377365,5,19.09803922
93,Provence-Alpes-Côte d'Azur,23.33333333,4.235294118,6,19.09803922
