reg_code,reg_name,value,delta,rank,avg
11,Ile-de-France,258.2185024,0.536203924,12,256.8413092
21,Champagne,271.3031211,5.630640919,7,256.8413092
22,Picardie,218.0478546,-15.10405576,18,256.8413092
23,Haute-Normandie,252.1066578,-1.843415052,14,256.8413092
24,Centre,237.1660942,-7.660455804,16,256.8413092
25,Basse-Normandie,262.7246273,2.290643255,10,256.8413092
26,Bourgogne,205.6011905,-19.95010806,20,256.8413092
31,Nord Pas de Calais,198.0976965,-22.87155945,21,256.8413092
41,Lorraine,223.6538483,-12.92138754,17,256.8413092
42,Alsace,208.8378089,-18.68994533,19,256.8413092
43,Franche Comté,258.435217,0.620580778,11,256.8413092
52,Pays de la Loire,284.1788778,10.64375846,3,256.8413092
53,Bretagne,276.9640394,7.83469383,5,256.8413092
54,Poitou Charentes ,270.241542,5.217319904,8,256.8413092
72,Aquitaine,284.2096816,10.65575178,2,256.8413092
73,Midi-Pyrénées ,285.2008561,11.04166108,1,256.8413092
74,Limousin,246.4103175,-4.061259373,15,256.8413092
82,Rhône-Alpes ,267.915803,4.311804001,9,256.8413092
83,Auvergne,281.2477625,9.502542012,4,256.8413092
91,Languedoc-Roussillon,255.8787552,-0.374766055,13,256.8413092
93,Provence-Alpes-Côte d'Azur,274.4757143,6.865875718,6,256.8413092
