reg_code,reg_name,value,delta,rank,avg
11,Ile-de-France,41.07236595,-13.61718255,19,47.54691635
21,Champagne,46.06941392,-3.107462151,15,47.54691635
22,Picardie,47.90618337,0.7556053,11,47.54691635
23,Haute-Normandie,38.73224044,-18.53890134,21,47.54691635
24,Centre,56.30706922,18.42422925,2,47.54691635
25,Basse-Normandie,49.21428571,3.506787597,9,47.54691635
26,Bourgogne,48.75123153,2.532898599,10,47.54691635
31,Nord Pas de Calais,45.6211878,-4.050164965,16,47.54691635
41,Lorraine,55.327138,16.36325181,4,47.54691635
42,Alsace,50.43625192,6.076809587,7,47.54691635
43,Franche Comté,52.52937788,10.47904241,5,47.54691635
52,Pays de la Loire,52.16643551,9.715707163,6,47.54691635
53,Bretagne,55.65752551,17.05811814,3,47.54691635
54,Poitou Charentes ,46.61496179,-1.960073614,13,47.54691635
72,Aquitaine,47.74011299,0.406328444,12,47.54691635
73,Midi-Pyrénées ,49.62605042,4.372805286,8,47.54691635
74,Limousin,57.76488095,21.49027821,1,47.54691635
82,Rhône-Alpes ,46.19324474,-2.847022926,14,47.54691635
83,Auvergne,43.22802198,-9.083437376,18,47.54691635
91,Languedoc-Roussillon,44.93379121,-5.495887727,17,47.54691635
93,Provence-Alpes-Côte d'Azur,40.37758538,-15.0784352,20,47.54691635
